"name","original price","offered price"
"SONY Alpha ILCE-7M4 Full Frame Mirrorless Camera Body Featuring Eye AF and 4K movie recording","?2,42,490","?2,18,490"
"FUJIFILM X-T5 Mirrorless Camera Body with 18-55mm Lens","?2,09,999","?1,79,999"
"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens","?35,995","?33,490"
"Canon EOS 200D II DSLR Camera EF-S18-55mm IS STM","?68,995","?59,990"
"GoPro Hero9 Sports and Action Camera","?47,000","?27,490"
"Fitspark Eagle EAGLE i9 Sports and Action Camera","?18,990","?2,999"
"Canon EOS 1500D DSLR Camera Body+ 18-55 mm IS II Lens","?47,995","?41,990"
"FUJIFILM X Series X-T4 Mirrorless Camera Body Only","?1,54,999","?1,38,499"
"GoPro Hero11 Waterproof Sports and Action Camera","?51,500","?40,990"
"GoPro HERO12 DualLCDScreens 5.3K60 UltraHDVideo HyperSmooth 6.0withAutoBoostWaterproof Sports and Acti...","?45,000","?44,765"
"SONY Alpha ILCE-7M3K Full Frame Mirrorless Camera with 28-70 mm Zoom LensFeaturing Eye AF and 4K movie...","?1,82,490","?1,59,990"
"FUJIFILM X-H2 Mirrorless Camera Body Only","?1,99,999","?1,85,999"
"GoPro HERO9 with Free Enduro Rechargeable Battery Sports and Action Camera","?52,500","?27,490"
"SONY ZV-E10L Mirrorless Camera Body with 1650 mm Power Zoom Lens Vlog Camera","?69,990","?61,490"
"Insta360 Action Camera X3 Sports and Action Camera","?51,999","?46,490"
"Insta360 One X2 Sports and Action Camera","?44,990","?34,990"
"SONY ZV-E10 Mirrorless Camera Body Only Vlog Camera","?59,490","?52,599"
"SONY ZV-E1L Mirrorless Camera Full-Frame Interchangeable Vlog ?28-60mm with Bluetooth Grip (GP-VPT2BT)","?2,43,990","?2,14,490"
"Canon EOS M50 Mark II Mirrorless Camera EF-M15-45mm is STM Lens","?66,995","?58,999"
"SONY Alpha Full Frame ILCE-7M2K/BQ IN5 Mirrorless Camera Body with 28 - 70 mm Lens","?1,28,990","?81,990"
"SONY ZV-E1 Mirrorless Camera Full-Frame Interchangeable Vlog BodyOnly with Bluetooth Grip (GP-VPT2BT)","?2,14,990","?1,88,990"
"SONY Alpha ILCE-7M3 Full Frame Mirrorless Camera Body Only Featuring Eye AF and 4K movie recording","?1,67,990","?1,45,990"
"Canon EOS R50 Mirrorless Camera Body with RF - S 18 - 45 mm f/4.5 - 6.3 IS STM","?75,995","?71,990"
"dji Osmo Action 4 Adventure Combo Sports and Action Camera","?54,990","?46,989"
